word,business,entertainment,politics,sport,tech
Federal Reserve_ORG,3,0,0,0,0
London_GPE,89,97,88,43,49
G7_GPE,11,0,0,0,0
Robert Sinche_PERSON,1,0,0,0,0
Bank of America_ORG,7,0,0,0,0
this year_DATE,71,26,10,30,32
China_GPE,180,3,31,10,53
Chinese_NORP,52,4,10,3,23
Beijing_GPE,13,0,5,3,4
the US Federal Reserve's_ORG,2,0,0,0,0
2 February_DATE,2,1,0,1,0
a quarter_CARDINAL,5,3,1,0,2
sixth_ORDINAL,5,14,3,22,0
as many months_DATE,1,0,0,1,0
European_NORP,95,18,49,65,59
half_CARDINAL,14,16,8,59,10
The White House_ORG,1,0,0,0,0
Monday_DATE,55,30,72,24,12
close to half_CARDINAL,1,0,0,0,0
Yukos_ORG,12,0,0,0,0
Russian_NORP,110,7,1,34,7
Yukos_PERSON,182,0,0,0,0
$900m_MONEY,1,0,0,0,0
479_MONEY,1,0,0,0,0
State_ORG,9,0,5,0,0
Rosneft_ORG,52,0,0,0,0
Yugansk_GPE,59,0,0,0,0
9.3bn_MONEY,5,0,0,0,0
Russia_GPE,98,1,7,28,3
27.5bn_MONEY,7,0,0,0,0
Menatep Group_ORG,2,0,0,0,0
540_MONEY,1,0,0,0,0
Moscow_GPE,17,0,1,0,0
Jamie Firestone_PERSON,1,0,0,0,0
Group_ORG,1,0,0,5,0
Tim Osborne_PERSON,3,0,0,0,0
Reuters_ORG,58,2,0,0,5
December_DATE,110,10,6,13,16
Mikhail Khodorkovsky_PERSON,18,0,0,0,0
BA_ORG,16,0,0,0,0
British Airways_ORG,3,0,0,0,1
40%_PERCENT,9,2,7,1,16
the three months to 31 December 2004_DATE,1,0,0,0,0
75_MONEY,2,3,0,0,2
141_MONEY,1,0,0,0,0
125_MONEY,3,1,0,0,0
a year earlier_DATE,25,0,0,1,0
Rod Eddington_PERSON,1,0,0,0,0
a third quarter_DATE,1,0,0,0,0
106_MONEY,1,0,0,0,0
47.3%_PERCENT,2,0,0,0,0
59_MONEY,1,0,0,0,0
full-year_DATE,6,0,0,0,0
last year_DATE,111,49,25,40,25
October_DATE,49,8,8,10,8
2.50_MONEY,1,0,0,0,1
Mike Powell_PERSON,1,0,0,0,0
Dresdner Kleinwort Wasserstein_PERSON,3,0,0,0,0
annual_DATE,86,17,18,6,20
revenues - £160_MONEY,1,0,0,0,0
250_MONEY,6,0,0,0,4
the quarter_DATE,10,0,0,0,0
4.3%_PERCENT,9,1,0,0,0
1.97bn_MONEY,2,0,0,0,0
full year_DATE,3,0,0,0,0
March 2005_DATE,1,0,0,0,4
the year to March 2005_DATE,6,0,0,0,0
3% to 3.5%_PERCENT,2,0,1,0,0
Martin Broughton_PERSON,1,0,0,0,0
2% to 3%_PERCENT,1,0,0,0,0
8.1%_PERCENT,8,0,0,0,0
January_DATE,87,10,8,31,23
Nick Van den Brul_PERSON,1,0,0,0,0
Paribas_ORG,2,0,0,0,0
quarterly_DATE,16,0,0,0,3
September 2001_DATE,3,1,0,0,0
the United States_GPE,22,8,6,7,6
"13,000_CARDINAL",3,1,0,0,1
Eddington_PERSON,1,0,0,0,0
six_CARDINAL,14,35,27,36,25
Airbus_ORG,31,0,0,0,0
A321_PRODUCT,1,0,0,0,0
next month_DATE,8,7,9,11,5
Club World_ORG,1,0,0,0,0
four pence_MONEY,1,0,0,0,0
274.5 pence_MONEY,1,0,0,0,0
Pernod_PERSON,7,0,0,0,0
UK_GPE,212,216,321,6,289
Allied Domecq_ORG,3,0,0,0,0
France_GPE,44,26,17,217,24
Pernod Ricard_PERSON,1,0,0,0,0
the Wall Street Journal_ORG,5,0,0,0,0
the Financial Times_ORG,18,0,2,0,1
French_NORP,46,41,11,47,13
4%_PERCENT,19,0,2,0,2
1200_CARDINAL,2,0,2,2,0
GMT_ORG,14,9,4,15,1
Pernod_ORG,1,0,0,0,0
Paris_GPE,24,11,0,32,3
1.2%_PERCENT,7,0,0,0,0
a third_CARDINAL,5,1,0,1,0
Seagram_ORG,3,0,0,0,0
three_CARDINAL,52,95,49,165,48
two-thirds_CARDINAL,4,0,2,0,1
Diageo_PERSON,7,0,0,0,0
9.7bn_MONEY,1,0,0,0,0
about 9%_PERCENT,2,0,0,0,0
5.7bn_MONEY,3,0,0,0,0
10.7bn_MONEY,3,0,0,0,0
8.2bn_CARDINAL,1,0,0,0,0
Last year_DATE,18,10,3,3,11
Glenmorangie_PERSON,1,0,0,0,0
Scotland_GPE,7,6,66,146,1
LVMH_ORG,7,0,0,0,0
Chivas Regal Scotch_PRODUCT,1,0,0,0,0
Havana Club_ORG,1,0,0,0,0
Jacob_PERSON,1,0,0,0,0
Allied Domecq's_ORG,1,0,0,0,0
Malibu_ORG,1,0,0,0,0
Courvoisier_PERSON,1,0,0,0,0
Stolichnaya_PERSON,1,0,0,0,0
Ballantine_ORG,1,0,0,0,0
Dunkin_PERSON,1,0,0,0,0
Baskin-Robbins_GPE,1,0,0,0,0
WSJ_ORG,3,0,0,0,0
two_CARDINAL,150,132,132,248,146
Allied_ORG,1,0,0,0,0
Japan_GPE,100,23,6,14,62
the three months to September_DATE,5,0,0,0,1
just 0.1%_PERCENT,4,0,0,0,0
the previous quarter_DATE,6,0,0,0,0
just 0.2%_PERCENT,3,0,0,0,0
two successive quarters_DATE,1,0,0,0,0
Heizo Takenaka_PERSON,4,0,0,0,0
Paul Sheard_PERSON,1,0,0,0,0
Lehman Brothers_ORG,2,0,0,0,0
Tokyo_GPE,13,1,1,0,0
the third quarter_DATE,16,0,0,0,0
three years_DATE,9,7,8,7,4
Labor Department_ORG,5,0,0,0,0
"only 146,000_CARDINAL",2,0,0,0,0
"190,000_CARDINAL",2,0,0,0,0
5.2%_PERCENT,3,0,0,0,0
Bush_PERSON,51,6,25,0,10
first_ORDINAL,104,206,157,395,211
last November's_DATE,2,0,0,0,0
Herbert Hoover_PERSON,2,0,0,0,0
last year's_DATE,16,13,7,15,5
The Labor Department_ORG,2,0,0,0,0
December 2004_DATE,5,0,1,0,6
"157,000 to 133,000_CARDINAL",2,0,0,0,0
Rick Egelton_PERSON,2,0,0,0,0
BMO Financial Group_ORG,2,0,0,0,0
Ken Mayland_PERSON,3,0,0,0,0
ClearView Economics_ORG,2,0,0,0,0
India_GPE,149,23,9,4,20
G7_PRODUCT,7,0,0,0,0
seven_CARDINAL,5,19,4,28,13
the United Nations_ORG,5,0,2,0,1
the World Bank_ORG,7,0,3,0,0
IMF_ORG,46,0,2,0,0
Palaniappan Chidambaram_PERSON,2,0,0,0,0
Chidambaram_PERSON,8,0,0,0,0
G20_ORG,2,0,0,0,0
two thirds_CARDINAL,3,0,1,0,0
Gordon Brown_PERSON,10,0,91,0,0
Brazil_GPE,26,1,0,13,1
South Africa_GPE,13,2,6,32,1
Saturday_DATE,9,35,20,108,3
G7_NORP,1,0,0,0,0
around 6.5%_PERCENT,1,0,0,0,0
the year to March 2004_DATE,1,0,0,0,0
Indian_NORP,56,16,3,13,6
8.5%_PERCENT,2,0,0,0,0
Ethiopia_GPE,5,2,0,7,0
24%_PERCENT,8,1,2,0,2
14.27 million tonnes_QUANTITY,1,0,0,0,0
2004_DATE,184,90,8,31,67
21%_PERCENT,3,0,1,0,0
the past five years_DATE,5,2,1,2,1
11.49 million tonnes_QUANTITY,1,0,0,0,0
the Food and Agriculture Organisation_ORG,1,0,0,0,0
the World Food Programme_ORG,1,0,0,0,0
2.2 million_CARDINAL,3,0,0,0,0
Ethiopians_NORP,3,0,0,0,0
"387,500 tonnes_QUANTITY",1,0,0,0,0
"89,000 tonnes_QUANTITY",1,0,0,0,0
under five_DATE,1,0,0,0,0
"965,000 tonnes_QUANTITY",1,0,0,0,0
seven million_CARDINAL,2,1,6,0,2
The Food and Agriculture Organisation_ORG,1,0,0,0,0
Henri Josserand_PERSON,1,0,0,0,0
FAO_ORG,6,0,0,0,0
Global Information_ORG,1,0,0,0,0
45%_PERCENT,5,1,2,0,4
About 80%_PERCENT,1,0,0,0,1
280bn_PERSON,4,0,0,0,0
155bn_MONEY,2,0,0,0,0
Clinton_PERSON,4,2,0,0,0
1999_DATE,14,18,14,13,2
2_CARDINAL,3,7,3,50,11
Washington_GPE,8,1,4,0,2
Altria Group_ORG,4,0,0,0,0
Reynolds Tobacco_ORG,3,0,0,0,0
Lorillard Tobacco_ORG,3,0,0,0,0
Liggett Group_ORG,3,0,0,0,0
Brown_PERSON,16,10,234,13,0
Williamson_PERSON,3,0,0,0,0
multi-billion dollar_MONEY,5,0,0,0,0
280bn_MONEY,3,0,0,0,0
the past 50 years_DATE,2,1,0,0,0
the Court of Appeals_ORG,1,0,0,0,0
the District of Columbia_GPE,2,0,0,0,0
Mafia_ORG,1,0,0,0,0
206bn_MONEY,3,0,0,0,0
46_CARDINAL,3,0,0,2,0
1998_DATE,9,10,5,21,3
Altria_PERSON,3,0,0,0,0
5%_PERCENT,21,1,1,0,3
Reynolds_ORG,2,2,0,0,0
4.5%_PERCENT,7,3,0,0,0
this week_DATE,14,3,22,23,15
the fourth quarter of 2004_DATE,3,0,0,0,0
86_MONEY,1,0,1,0,0
46_MONEY,1,1,0,0,1
17_MONEY,1,4,0,1,2
204_MONEY,1,0,0,0,0
the week_DATE,2,4,3,6,3
the same quarter_DATE,1,0,0,1,0
Yahoo_ORG,1,0,0,0,45
187_MONEY,1,0,0,0,0
Late last year_DATE,2,0,0,0,0
Doubleclick_PERSON,2,0,0,0,0
some 4%_PERCENT,1,0,0,0,0
some quarters_DATE,3,0,1,0,0
Tuesday_DATE,71,27,57,42,15
Indonesians_NORP,3,0,0,0,0
Indonesia_GPE,34,1,9,0,2
as much as 30%_PERCENT,1,0,0,0,0
Millions_CARDINAL,6,0,1,0,3
years_DATE,14,7,9,4,11
Susilo Bambang_PERSON,1,0,0,0,0
Yudhoyono_PERSON,2,0,0,0,0
Indonesia Aceh's_GPE,1,0,0,0,0
late December_DATE,2,0,0,0,3
59.2 trillion_MONEY,1,0,0,0,0
6.58bn_MONEY,1,0,0,0,0
3.5bn_MONEY,3,0,0,0,1
14.5 trillion_CARDINAL,1,0,0,0,0
January to March_DATE,1,0,0,0,0
quarter of this year_DATE,1,0,0,0,0
Sri Mulyani Indrawati_PERSON,1,0,0,0,0
National Development Planning_ORG,1,0,0,0,0
30%_PERCENT,17,1,2,0,7
BBC_ORG,33,118,100,18,47
Jakarta_GPE,6,0,1,0,0
Rachel Harvey_PERSON,1,0,0,0,0
World Business Report_ORG,3,0,0,0,0
between 20% and 30%_PERCENT,1,0,0,0,0
Megawati Sukarnoputri_PERSON,1,0,0,0,0
Peugeot_ORG,7,0,0,0,0
Mitsubishi_ORG,11,0,0,0,1
Japanese_NORP,58,15,1,0,20
Mitsubishi Motors_ORG,8,0,0,0,0
"30,000_CARDINAL",2,0,2,1,1
a Memorandum of Understanding_WORK_OF_ART,1,0,0,0,0
Spring 2005_DATE,1,0,0,0,0
nine months_DATE,1,0,3,0,0
41%_PERCENT,3,0,0,0,2
the past year_DATE,10,2,3,1,8
Last month_DATE,9,3,3,1,3
540bn yen_MONEY,1,0,0,0,0
5.2bn_MONEY,3,0,0,0,0
2.77bn_MONEY,1,0,0,0,0
DaimlerChrylser_ORG,1,0,0,0,0
April 2004_DATE,6,3,0,0,2
Takashi Nishioka_PERSON,1,0,0,0,0
last month_DATE,24,9,9,14,7
472bn yen_MONEY,1,0,0,0,0
current financial year to March 2005_DATE,1,0,0,0,0
Nissan Motor_ORG,1,0,0,0,0
"36,000_CARDINAL",1,0,0,0,0
Nissan_ORG,22,0,0,0,0
90_CARDINAL,6,0,0,2,0
Sunday_DATE,31,42,40,93,7
17%_PERCENT,4,1,2,0,4
The Telegraph Group_ORG,2,0,0,0,0
150_MONEY,1,0,0,0,4
afternoon_TIME,5,3,4,3,1
The National Union of Journalists_ORG,2,0,0,0,0
midday_TIME,2,2,0,0,0
Pearson_ORG,1,0,0,0,0
Financial Times_ORG,3,0,0,0,0
last week_DATE,30,10,33,22,18
about 30_CARDINAL,1,0,1,0,0
Jeremy Dear_PERSON,1,0,0,0,0
NUJ_ORG,1,0,0,0,0
Barry Fitzpatrick_PERSON,1,0,0,0,0
90-day_DATE,1,0,0,0,0
more than 10_CARDINAL,1,0,0,0,0
Fitzpatrick_PERSON,1,0,0,0,0
Telegraph_PRODUCT,1,0,0,0,0
521_CARDINAL,1,0,0,0,0
Telegraph_ORG,4,0,4,0,0
The Independent and The Times_ORG,1,0,0,0,0
Guardian_ORG,1,7,9,2,1
Europe_LOC,125,18,71,33,117
Barclay_ORG,1,0,0,0,0
Conrad Black's_PERSON,1,0,0,0,0
Hollinger International_ORG,1,0,0,0,0
Littlewoods_PERSON,1,0,0,0,0
Murdoch MacLennan_PERSON,1,0,0,0,0
eight_CARDINAL,9,26,8,24,16
the coming months_DATE,2,1,2,1,1
The Daily Telegraph_ORG,1,0,0,0,0
News Corp's_ORG,2,0,0,0,0
News International_ORG,1,0,1,0,0
Sun_LOC,1,0,0,0,0
the News of the World_ORG,1,0,4,1,0
the Guardian Media Group_ORG,1,0,0,0,0
Trinity Mirror_ORG,1,0,0,0,0
the Daily Mail & General Trust_ORG,1,0,0,0,0
EU_ORG,95,1,154,0,31
173_MONEY,2,0,0,0,0
600_CARDINAL,1,0,2,0,3
The European Commission_ORG,5,0,0,0,2
Airlines Association_ORG,1,0,0,0,0
the International Air Transport Association_ORG,1,0,0,0,0
IATA_ORG,1,0,0,0,0
between 150_CARDINAL,1,0,0,0,0
300_CARDINAL,5,3,3,2,3
more than two hours_TIME,1,0,0,0,0
Ryanair_PERSON,4,0,0,0,0
Michael Cawley_PERSON,1,0,0,0,0
Radio 4's_ORG,1,0,6,0,0
Today_DATE,12,2,58,1,7
The European Regions Airline Association_ORG,1,0,0,0,0
Andy Clarke_PERSON,1,0,0,0,0
EC_ORG,10,0,0,0,9
Marja Quillinan-Meiland_PERSON,1,0,0,0,0
Clarke_PERSON,2,0,23,0,0
over £1bn_MONEY,1,0,0,0,0
Wednesday_DATE,54,26,55,64,8
Jacques Barrot_PERSON,2,0,0,0,0
the European Commission_ORG,7,0,2,0,4
daily_DATE,8,3,7,2,16
earlier this year_DATE,11,7,3,7,4
9.1%_PERCENT,5,0,0,0,0
more than 25%_PERCENT,2,0,0,0,0
9%_PERCENT,9,0,0,0,4
more than a year_DATE,6,0,1,0,0
7%_PERCENT,10,0,1,0,5
8.28_CARDINAL,3,0,0,0,0
15.7%_PERCENT,1,0,0,0,0
the year to October_DATE,1,0,0,0,0
23%_PERCENT,5,0,0,0,0
February_DATE,20,15,11,17,5
Italian_NORP,34,2,2,23,3
77_CARDINAL,2,0,0,0,0
53_MONEY,3,0,0,0,2
100_MONEY,7,2,4,3,2
38_CARDINAL,2,2,0,0,0
the same period of_DATE,2,0,1,0,0
11_CARDINAL,5,22,9,22,1
five years ago_DATE,3,0,0,2,5
December 2003_DATE,6,0,1,0,3
4bn_ORDINAL,5,0,2,0,0
12bn_ORDINAL,2,0,0,0,0
Italy_GPE,25,4,2,123,11
Enrico Bondi_PERSON,3,0,0,0,0
Morgan Stanley_ORG,4,0,0,0,0
136_CARDINAL,1,0,0,0,0
49_CARDINAL,2,0,0,2,0
Bondi_PERSON,2,0,0,0,0
as much as_PERCENT,1,0,0,0,0
3bn_ORDINAL,4,0,1,0,0
five-year_DATE,9,1,10,0,0
Standard & Poor's_ORG,8,0,0,0,0
S&P_ORG,6,0,0,0,0
43.305 per US dollar_MONEY,1,0,0,0,0
43.41_CARDINAL,1,0,0,0,0
almost 1%_PERCENT,1,0,0,0,0
the past_DATE,1,0,0,0,0
Bhanu Baweja_PERSON,1,0,0,0,0
UBS_ORG,6,0,0,0,0
the first two or three weeks of January_DATE,1,0,0,0,0
Korea_GPE,3,0,0,2,4
Thailand_GPE,24,1,1,9,0
Romania_GPE,2,1,3,3,4
Egypt_GPE,15,2,5,3,0
El Salvador_GPE,1,0,0,0,0
49% to 74%_PERCENT,1,0,0,0,0
Dayanidhi Maran_PERSON,1,0,0,0,0
95 million_CARDINAL,1,0,0,0,0
between 200 and 250 million_CARDINAL,1,0,0,0,0
2007_DATE,15,1,4,6,11
at least $20bn_MONEY,1,0,0,0,0
10.6bn_MONEY,1,0,0,0,0
Mr Maran_PERSON,1,0,0,0,0
communist_NORP,1,0,0,0,0
Manmohan Singh_PERSON,1,0,0,0,0
49%_PERCENT,3,0,0,0,0
Maran_PERSON,1,0,0,0,0
Indians_NORP,1,0,1,1,3
Gartner_ORG,1,0,0,0,29
Kobita Desai_PERSON,1,0,0,0,0
FDI_ORG,2,0,0,0,0
Ernst and Young's_WORK_OF_ART,1,0,0,0,0
Sanjay Mehta_PERSON,1,0,0,0,0
about 40%_PERCENT,2,0,0,0,0
four_CARDINAL,25,67,39,92,33
Bharti Televentures_ORG,1,0,0,0,0
Singapore Telecom_ORG,1,0,0,0,0
Essar_ORG,1,0,0,0,0
Hong Kong_GPE,16,4,1,6,4
Hutchison Whampoa_ORG,1,0,0,0,0
Sterling_ORG,2,0,0,0,0
Tata_ORG,2,0,0,0,5
just 65 seconds_TIME,1,0,0,0,0
20%_PERCENT,28,4,6,0,4
every year_DATE,4,1,6,1,6
Cara Diemont_PERSON,1,0,0,0,0
Dimension Data_ORG,3,0,0,0,0
just over 5%_PERCENT,1,0,0,0,0
13.3%_PERCENT,1,0,0,0,0
One_CARDINAL,28,37,19,15,94
Ms Diemont_PERSON,2,0,0,0,0
36_CARDINAL,4,3,0,3,0
just 21 days_DATE,1,0,0,0,0
Ms Diemont_ORG,1,0,0,0,0
the towel every year_DATE,1,0,0,0,0
just 50%_PERCENT,1,0,0,0,0
second_ORDINAL,63,93,38,209,83
about 70%_PERCENT,4,0,0,0,0
85%_PERCENT,2,1,1,0,1
North America_LOC,12,5,0,0,4
Only 42%_PERCENT,1,0,0,0,0
Half_CARDINAL,3,0,0,0,5
Nearly two-thirds_CARDINAL,1,0,0,0,0
Sunovate_PERSON,1,0,0,0,0
166_CARDINAL,2,0,0,0,0
24_CARDINAL,4,9,7,8,5
five_CARDINAL,26,65,27,70,26
Vivaldi_PERSON,1,0,0,0,0
Greensleeves_GPE,1,1,0,0,0
Rank_ORG,4,0,0,0,0
Goldman Sachs_ORG,3,0,0,0,0
Deluxe Film_ORG,1,0,0,0,0
September_DATE,27,13,11,8,9
Mike Smith's_PERSON,1,0,0,0,0
Odeon_ORG,1,3,0,0,0
Pinewood_ORG,1,0,0,0,0
Hard Rock and_GPE,1,0,0,0,0
Hollywood_GPE,1,89,0,0,16
Hard Rock_GPE,1,0,0,0,0
Deluxe Media_ORG,1,0,0,0,0
21.5_MONEY,1,0,0,0,0
392.1_MONEY,1,0,0,0,0
VHS_ORG,1,0,0,0,5
170_MONEY,2,0,1,0,0
194_MONEY,3,0,0,0,0
the 1940s_DATE,1,3,0,0,0
many years_DATE,2,3,2,1,8
34_CARDINAL,1,0,1,2,5
Grosvenor_ORG,1,0,0,0,0
Mecca_GPE,1,0,0,0,0
Bingo_GPE,1,0,0,0,0
more than 100_CARDINAL,3,2,2,0,1
the tenth straight month_DATE,1,0,0,0,0
"7,000_CARDINAL",2,0,0,0,0
November_DATE,61,5,10,13,15
4.464 million_CARDINAL,1,0,0,0,0
10.8%_PERCENT,2,0,0,0,0
Frank-Juergen Weise_PERSON,2,0,0,0,0
the Federal Labour Agency_ORG,1,0,0,0,0
0.1%_PERCENT,13,0,0,0,0
Germany_GPE,61,14,25,23,20
18.8%_PERCENT,5,0,0,0,0
4 million_CARDINAL,1,0,0,0,0
Gerhard Schroeder_PERSON,6,0,2,0,0
the end of 2004_DATE,2,0,0,0,13
INSEE_ORG,6,0,0,0,0
seasonally_DATE,4,0,0,0,0
0.7-0.8%_PERCENT,1,0,0,0,0
0.6%_PERCENT,8,0,0,0,0
early 2002_DATE,1,0,0,0,0
2.3%_PERCENT,6,0,0,0,0
the full year_DATE,5,0,0,0,0
2.5%_PERCENT,9,0,0,0,0
the European Central Bank_ORG,3,0,0,0,0
12_CARDINAL,14,23,11,15,9
0.7%_PERCENT,11,0,5,0,0
David Naude_PERSON,1,0,0,0,0
Deutsche Bank_ORG,24,0,0,0,0
the New Year_EVENT,7,2,6,3,1
seven-month_DATE,3,0,0,0,0
about 10%_PERCENT,2,1,1,1,0
671.7bn_MONEY,1,0,0,0,0
484bn_MONEY,1,0,0,0,0
The Commerce Department_ORG,2,0,0,0,0
24.4%_PERCENT,1,0,0,0,0
496.5bn_MONEY,1,0,0,0,0
30.5%_PERCENT,1,0,0,0,0
162bn_MONEY,1,0,0,0,0
monthly_DATE,18,3,17,0,25
4.9%_PERCENT,2,0,0,0,0
Democrats_NORP,2,0,31,0,0
as much as 40%_PERCENT,1,0,0,0,0
America_GPE,17,12,10,7,5
as many dollar_MONEY,1,0,0,0,0
12.3%_PERCENT,2,0,0,0,0
$1.15 trillion_MONEY,1,0,0,0,0
16.3%_PERCENT,2,0,0,0,0
$1.76 trillion_MONEY,1,0,0,0,0
35.7%_PERCENT,1,0,0,0,0
a record $180.7bn_MONEY,1,0,0,0,0
Marie-Pierre Ripert_PERSON,1,0,0,0,0
IXIS_ORG,1,0,0,0,0
Chapter 11_LAW,15,0,0,0,6
Houston_GPE,17,0,13,3,0
Khodorkovsky_PERSON,21,0,0,0,0
15 years_DATE,2,1,2,1,2
14.5bn_MONEY,3,0,0,0,0
9.4bn_MONEY,8,0,0,0,0
Texas_GPE,12,3,1,0,16
Letitia Clark_PERSON,5,0,0,0,0
Clark_PERSON,2,6,0,1,2
Bruce Misamore_PERSON,3,0,0,0,0
the European Court of Human Rights -_ORG,2,0,0,0,0
United States_GPE,2,0,1,0,1
Gazpromneft_ORG,2,0,0,0,0
Gazprom and Rosneft_ORG,1,0,0,0,0
Steven Theede_PERSON,3,0,0,0,0
GM_ORG,80,0,0,0,0
General Motors_ORG,15,0,0,0,0
"nearly 200,000_CARDINAL",1,0,0,0,0
The National Highway Traffic Safety Administration_ORG,1,0,0,0,0
NHTSA_ORG,2,0,0,0,0
"155,465_CARDINAL",1,0,0,0,0
Chevrolet_ORG,4,0,0,0,0
Avalanche_PRODUCT,1,0,0,0,0
Express_GPE,1,0,0,0,0
Kodiak_GPE,1,0,0,0,0
Silverade_PERSON,1,0,0,0,0
Suburban_PRODUCT,1,0,0,0,0
Savana_GPE,1,0,0,0,0
Sierra_ORG,1,0,0,0,0
Yukon_ORG,1,0,0,0,0
"19,924_CARDINAL",1,0,0,0,0
Cadillac_ORG,6,0,0,0,0
XLR_ORG,1,0,0,0,0
SRX_ORG,1,0,0,0,0
Pontiac Grand Prix_PERSON,1,0,0,0,0
2004 model year_DATE,1,0,0,0,0
"17,815_CARDINAL",1,0,0,0,0
Buick Raniers_ORG,1,0,0,0,0
Trailblazers_PRODUCT,1,0,0,0,0
GMC Envoys_ORG,1,0,0,0,0
Isuzu Ascenders_ORG,1,0,0,0,0
"45,000_CARDINAL",1,1,0,0,1
Mittal Steel_ORG,5,0,0,0,0
"up to 45,000_CARDINAL",1,0,0,0,0
the next five years_DATE,3,0,3,0,4
Netherlands_GPE,6,2,4,5,12
4.5bn_MONEY,4,0,0,0,0
ISG_ORG,2,0,0,0,0
Lakshmi Mittal_PERSON,1,0,0,0,0
thousands_CARDINAL,10,10,9,2,28
Mittal_PERSON,2,0,0,0,0
International Steel Group_ORG,1,0,0,0,0
"between 7,000 and 8,000_CARDINAL",1,0,0,0,0
annually_DATE,6,0,2,1,0
"155,000 to 110,000_CARDINAL",1,0,0,0,0
2010_DATE,16,3,7,0,13
Chicago_GPE,5,7,0,14,1
Mittal's_ORG,1,0,0,0,0
Dutch_NORP,8,13,0,14,9
Ispat_GPE,1,0,0,0,0
32bn_MONEY,1,0,0,0,0
16.7bn_MONEY,1,0,0,0,0
24.1bn_CARDINAL,1,0,0,0,0
70 million tonnes_QUANTITY,1,0,0,0,0
14_CARDINAL,4,7,7,20,8
"50,000_CARDINAL",1,2,0,0,8
Kazakhstan_GPE,4,0,0,0,0
"the Czech Republic, South Africa_GPE",1,0,0,0,0
47_MONEY,2,0,0,0,0
The International Energy Agency_ORG,1,0,0,0,0
IEA_ORG,4,0,0,0,0
Opec_ORG,16,0,0,0,0
the first quarter_DATE,2,0,0,3,0
"80,000 barrels_QUANTITY",1,0,0,0,0
84 million barrels_QUANTITY,1,0,0,0,0
1.64_MONEY,1,0,0,0,0
47.10_MONEY,1,0,0,0,0
Brent_ORG,3,0,0,0,0
1.32_MONEY,1,0,0,0,0
44.45_MONEY,1,0,0,0,0
Asian_NORP,27,10,30,3,6
The US Department of Energy_ORG,1,0,0,0,0
1m barrels_QUANTITY,1,0,0,0,0
294.3_CARDINAL,1,0,0,0,0
$40 to $50_MONEY,1,0,0,0,0
Orin Middleton_PERSON,1,0,0,0,0
Barclays Capital_ORG,4,0,0,0,0
Venezuelan_NORP,13,0,0,0,0
British_NORP,17,163,153,82,27
Chavez_PERSON,9,0,0,0,0
Cojedes_PRODUCT,1,0,0,0,0
the Vestey Group_ORG,1,0,0,0,0
The Vestey Group_ORG,2,0,0,0,0
Agroflora_ORG,4,0,0,0,0
13_CARDINAL,4,15,2,17,6
Venezuela_GPE,21,0,0,0,0
Hato El Charcote_ORG,1,0,0,0,0
"12,900 acres_QUANTITY",1,0,0,0,0
"5,200_CARDINAL",2,0,0,0,0
"32,000 acre_QUANTITY",1,0,0,0,0
Alexis Ortiz_PERSON,1,0,0,0,0
2001_DATE,39,31,43,22,9
the 19th Century_DATE,1,0,1,0,2
1920_DATE,1,0,0,0,0
Agroflora_PERSON,1,0,0,0,0
more than 500_CARDINAL,2,0,0,0,0
